utc,rss_kib,live,ready,frames,dispatched,dropped,overflows,live_sessions
2026-07-22T15:41:12Z,10224,200,200,2,3,0,0,1
2026-07-22T15:41:42Z,10352,200,200,2,3,0,0,1
2026-07-22T15:42:12Z,10400,200,200,2,3,0,0,1
2026-07-22T15:42:42Z,10400,200,200,2,3,0,0,1
2026-07-22T15:43:12Z,10432,200,200,2,3,0,0,1
2026-07-22T15:43:42Z,10448,200,200,2,3,0,0,1
2026-07-22T15:44:12Z,10464,200,200,2,3,0,0,1
2026-07-22T15:44:42Z,10480,200,200,2,3,0,0,1
2026-07-22T15:45:12Z,10496,200,200,2,3,0,0,1
2026-07-22T15:45:42Z,10496,200,200,2,3,0,0,1
2026-07-22T15:46:12Z,10512,200,200,2,3,0,0,1
2026-07-22T15:46:42Z,8400,200,200,2,3,0,0,1
2026-07-22T15:47:12Z,8400,200,200,2,3,0,0,1
2026-07-22T15:47:42Z,8416,200,200,2,3,0,0,1
2026-07-22T15:48:12Z,8416,200,200,2,3,0,0,1
2026-07-22T15:48:42Z,8416,200,200,2,3,0,0,1
2026-07-22T15:49:12Z,8416,200,200,2,3,0,0,1
2026-07-22T15:49:42Z,8432,200,200,2,3,0,0,1
2026-07-22T15:50:12Z,8432,200,200,2,3,0,0,1
2026-07-22T15:50:42Z,8448,200,200,2,3,0,0,1
2026-07-22T15:51:12Z,8464,200,200,2,3,0,0,1
2026-07-22T15:51:42Z,8464,200,200,2,3,0,0,1
2026-07-22T15:52:12Z,8464,200,200,2,3,0,0,1
2026-07-22T15:52:42Z,8464,200,200,2,3,0,0,1
2026-07-22T15:53:12Z,8464,200,200,2,3,0,0,1
2026-07-22T15:53:42Z,8480,200,200,2,3,0,0,1
2026-07-22T15:54:12Z,8480,200,200,2,3,0,0,1
2026-07-22T15:54:42Z,8480,200,200,2,3,0,0,1
2026-07-22T15:55:12Z,8480,200,200,2,3,0,0,1
2026-07-22T15:55:42Z,8480,200,200,2,3,0,0,1
2026-07-22T15:56:12Z,8480,200,200,2,3,0,0,1
2026-07-22T15:56:42Z,8464,200,200,2,3,0,0,1
2026-07-22T15:57:12Z,8464,200,200,2,3,0,0,1
2026-07-22T15:57:42Z,8480,200,200,2,3,0,0,1
2026-07-22T15:58:12Z,8480,200,200,2,3,0,0,1
2026-07-22T15:58:42Z,8480,200,200,2,3,0,0,1
2026-07-22T15:59:12Z,8496,200,200,2,3,0,0,1
2026-07-22T15:59:42Z,8496,200,200,2,3,0,0,1
2026-07-22T16:00:12Z,8496,200,200,2,3,0,0,1
2026-07-22T16:00:42Z,8496,200,200,2,3,0,0,1
2026-07-22T16:01:12Z,8496,200,200,2,3,0,0,1
2026-07-22T16:01:42Z,8512,200,200,2,3,0,0,1
2026-07-22T16:02:12Z,8512,200,200,2,3,0,0,1
2026-07-22T16:02:42Z,8512,200,200,2,3,0,0,1
2026-07-22T16:03:12Z,8512,200,200,2,3,0,0,1
2026-07-22T16:03:42Z,8512,200,200,2,3,0,0,1
2026-07-22T16:04:12Z,8512,200,200,2,3,0,0,1
2026-07-22T16:04:42Z,8480,200,200,2,3,0,0,1
2026-07-22T16:05:12Z,8496,200,200,2,3,0,0,1
2026-07-22T16:05:42Z,8496,200,200,2,3,0,0,1
2026-07-22T16:06:12Z,8496,200,200,2,3,0,0,1
2026-07-22T16:06:42Z,8496,200,200,2,3,0,0,1
2026-07-22T16:07:12Z,8496,200,200,2,3,0,0,1
2026-07-22T16:07:42Z,8496,200,200,2,3,0,0,1
2026-07-22T16:08:12Z,8496,200,200,2,3,0,0,1
2026-07-22T16:08:42Z,8496,200,200,2,3,0,0,1
2026-07-22T16:09:12Z,8496,200,200,2,3,0,0,1
2026-07-22T16:09:42Z,8496,200,200,2,3,0,0,1
2026-07-22T16:10:12Z,8496,200,200,2,3,0,0,1
2026-07-22T16:10:42Z,8448,200,200,2,3,0,0,1
2026-07-22T16:11:12Z,8448,200,200,2,3,0,0,1
2026-07-22T16:11:42Z,8448,200,200,2,3,0,0,1
2026-07-22T16:12:12Z,8448,200,200,2,3,0,0,1
2026-07-22T16:12:42Z,8464,200,200,2,3,0,0,1
2026-07-22T16:13:12Z,8464,200,200,2,3,0,0,1
2026-07-22T16:13:42Z,8464,200,200,2,3,0,0,1
2026-07-22T16:14:12Z,8464,200,200,2,3,0,0,1
2026-07-22T16:14:42Z,8464,200,200,2,3,0,0,1
2026-07-22T16:15:12Z,8448,200,200,2,3,0,0,1
2026-07-22T16:15:42Z,8448,200,200,2,3,0,0,1
2026-07-22T16:16:12Z,8448,200,200,2,3,0,0,1
2026-07-22T16:16:42Z,8448,200,200,2,3,0,0,1
2026-07-22T16:17:12Z,8448,200,200,2,3,0,0,1
2026-07-22T16:17:42Z,8448,200,200,2,3,0,0,1
2026-07-22T16:18:12Z,8448,200,200,2,3,0,0,1
2026-07-22T16:18:42Z,8448,200,200,2,3,0,0,1
2026-07-22T16:19:12Z,8448,200,200,2,3,0,0,1
2026-07-22T16:19:42Z,8448,200,200,2,3,0,0,1
2026-07-22T16:20:12Z,8448,200,200,2,3,0,0,1
2026-07-22T16:20:42Z,8448,200,200,2,3,0,0,1
2026-07-22T16:21:12Z,8448,200,200,2,3,0,0,1
2026-07-22T16:21:42Z,8448,200,200,2,3,0,0,1
2026-07-22T16:22:12Z,8448,200,200,2,3,0,0,1
2026-07-22T16:22:42Z,8448,200,200,2,3,0,0,1
2026-07-22T16:23:12Z,8464,200,200,2,3,0,0,1
2026-07-22T16:23:42Z,8448,200,200,2,3,0,0,1
2026-07-22T16:24:12Z,8448,200,200,2,3,0,0,1
2026-07-22T16:24:42Z,8448,200,200,2,3,0,0,1
2026-07-22T16:25:12Z,8448,200,200,2,3,0,0,1
2026-07-22T16:25:42Z,8448,200,200,2,3,0,0,1
2026-07-22T16:26:12Z,8384,200,200,2,3,0,0,1
2026-07-22T16:26:42Z,8448,200,200,2,3,0,0,1
2026-07-22T16:27:12Z,8448,200,200,2,3,0,0,1
2026-07-22T16:27:42Z,8448,200,200,2,3,0,0,1
2026-07-22T16:28:12Z,8448,200,200,2,3,0,0,1
2026-07-22T16:28:42Z,8448,200,200,2,3,0,0,1
2026-07-22T16:29:12Z,8448,200,200,2,3,0,0,1
2026-07-22T16:29:42Z,8448,200,200,2,3,0,0,1
2026-07-22T16:30:12Z,8448,200,200,2,3,0,0,1
2026-07-22T16:30:42Z,8448,200,200,2,3,0,0,1
2026-07-22T16:31:12Z,8448,200,200,2,3,0,0,1
2026-07-22T16:31:42Z,8448,200,200,2,3,0,0,1
2026-07-22T16:32:12Z,8448,200,200,2,3,0,0,1
2026-07-22T16:32:42Z,8448,200,200,2,3,0,0,1
2026-07-22T16:33:12Z,8448,200,200,2,3,0,0,1
